"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","createdMsia"
"Tukar plan ke maxis dah settle",FALSE,0,NA,"2016-05-31 03:56:22",FALSE,NA,737492895192600576,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katonjunior",0,FALSE,FALSE,NA,NA,"2016-05-31 11:56:22"
"baru mau plan download gomgshim trus maxis msg internet anda telah tamat, the real pain was there oh em gee my gongshim",FALSE,0,NA,"2016-06-07 03:15:46",FALSE,NA,740019390121312256,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lova9876543xx",0,FALSE,FALSE,NA,NA,"2016-06-07 11:15:46"
"@rambleandwander guna plan data ape? Maxis ke?",FALSE,0,"rambleandwander","2016-06-07 02:02:20",FALSE,740000723488755712,740000910210826240,549497095,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","syrarahmat",0,FALSE,FALSE,NA,NA,"2016-06-07 10:02:20"
"Plan maxis apa recommended utk internet sebulan or seminggu",FALSE,0,NA,"2016-06-07 01:40:59",FALSE,NA,739995539874283520,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DearSyazwan",0,FALSE,FALSE,NA,NA,"2016-06-07 09:40:59"
"RT @amanz: Maxis Menawarkan Telefon Pintar 4G Percuma Untuk Pelanggan MaxisONE Plan<U+00A0>baru https://t.co/DHi7lmRNXo https://t.co/zaI5n9pXFW",FALSE,0,NA,"2016-06-07 00:28:06",FALSE,NA,739977197960630272,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","angahfizi",12,TRUE,FALSE,NA,NA,"2016-06-07 08:28:06"
"Thanks maxis for free call and internet for a week. Really appreciate this. Baru je niat nak tukar plan lain <ed><U+00A0><U+00BD><ed><U+00B8><U+008C> #ThanksMaxis",FALSE,2,NA,"2016-06-06 21:11:11",FALSE,NA,739927639654203392,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ieyd",0,FALSE,FALSE,NA,NA,"2016-06-07 05:11:11"
"@ekynramli @sweet_apple5 hahaha nak buat cmne dy dah siap download dah. Cuti nnt tukar plan maxis",FALSE,0,"ekynramli","2016-06-06 17:16:22",FALSE,739868202197340160,739868548806254592,78291130,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_fxrhxnx",0,FALSE,FALSE,NA,NA,"2016-06-07 01:16:22"
"Dear @Maxis we are using your plan like for &gt;20 years.  Bagi la free Internet sekali sekala.. <ed><U+00A0><U+00BD><ed><U+00B8><U+0091>",FALSE,0,NA,"2016-06-06 16:55:03",FALSE,NA,739863183972655104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","musirahmunaf",0,FALSE,FALSE,NA,NA,"2016-06-07 00:55:03"
"@njbmm Maxis Menawarkan Telefon Pintar 4G Percuma Untuk Pelanggan MaxisONE Plan baru https://t.co/Kk5xFsa7fO",FALSE,0,"njbmm","2016-06-06 16:44:42",FALSE,NA,739860580039688192,118775315,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4mirul4iz4t",0,FALSE,FALSE,NA,NA,"2016-06-07 00:44:42"
"RT @malissa_ayu: maxis lembab haih plan plan!",FALSE,0,NA,"2016-06-06 15:24:02",FALSE,NA,739840277595054080,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","izzatihaika",1,TRUE,FALSE,NA,NA,"2016-06-06 23:24:02"
"maxis lembab haih plan plan!",FALSE,0,NA,"2016-06-06 15:21:03",FALSE,NA,739839528773423104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malissa_ayu",1,FALSE,FALSE,NA,NA,"2016-06-06 23:21:03"
"RT @ilydyx: Baik aku guna internet beli guna topup rm5 sehari tu drpd sebulan maxis one plan mcm harem ni! Sumpah tak suka!",FALSE,0,NA,"2016-06-06 14:44:04",FALSE,NA,739830219402403840,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Maizia_",1,TRUE,FALSE,NA,NA,"2016-06-06 22:44:04"
"Baik aku guna internet beli guna topup rm5 sehari tu drpd sebulan maxis one plan mcm harem ni! Sumpah tak suka!",FALSE,1,NA,"2016-06-06 14:12:08",FALSE,NA,739822184743329792,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ilydyx",1,FALSE,FALSE,NA,NA,"2016-06-06 22:12:08"
"""LA PLAN DE MAXIS : RICHTOFEN EST-IL POUR VOUS REELLEMENT GENTIL ?!""<U+00A0>: https://t.co/NAvPQ1yyDe via @YouTube",FALSE,0,NA,"2016-06-06 11:40:48",FALSE,NA,739784099406176256,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","JustAlexYT",0,FALSE,FALSE,NA,NA,"2016-06-06 19:40:48"
"Am considering if I want to port out from Maxis One plan to Celcom First Gold plan. Hmm...should I? <U+0096> thinking about making a change",FALSE,1,NA,"2016-06-06 09:35:14",FALSE,NA,739752500257914880,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","samanthakgss",0,FALSE,FALSE,NA,NA,"2016-06-06 17:35:14"
"terfikir sejenak,nak tukar ke tak plan maxis ke celcom.hmm",FALSE,0,NA,"2016-06-06 09:28:31",FALSE,NA,739750810955841536,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aidiramlan7",0,FALSE,FALSE,NA,NA,"2016-06-06 17:28:31"
"new maxis one data plan <ed><U+00A0><U+00BD><ed><U+00B9><U+0086>",FALSE,0,NA,"2016-06-06 07:40:21",FALSE,NA,739723586953318400,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","terrence_tan98",0,FALSE,FALSE,NA,NA,"2016-06-06 15:40:21"
"@MUAZZUDIRADAM @FarhanHirzi dulu aku pakai maxis patu tukar umobile postpaid plan 3gb RM28. Laju jeee #promote <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,"MUAZZUDIRADAM","2016-06-06 06:56:45",FALSE,739712041313669120,739712617384574976,191418483,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FateenHazemi",0,FALSE,FALSE,NA,NA,"2016-06-06 14:56:45"
"Maxis Menawarkan Telefon Pintar 4G Percuma Untuk Pelanggan MaxisONE Plan<U+00A0>baru https://t.co/DHi7lmRNXo https://t.co/zaI5n9pXFW",FALSE,5,NA,"2016-06-06 06:51:25",FALSE,NA,739711275593129984,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","amanz",12,FALSE,FALSE,NA,NA,"2016-06-06 14:51:25"
"<U+4EBA><U+5BB6><U+56DE><U+5B78><U+6821><U+88DC><U+8AB2> <U+6211><U+56DE><U+5B78><U+6821><U+88DC><U+8AB2> <U+70BA><U+4EC0><U+9EBC><U+6211><U+5728><U+7814><U+7A76>maxis one plan<ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091>",FALSE,4,NA,"2016-06-06 06:38:20",FALSE,NA,739707982544408576,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miu_leng",0,FALSE,FALSE,NA,NA,"2016-06-06 14:38:20"
"@Faliqajir hahaha tu laaa tengok laaa camne. Maxis ada zerolution plan tu. Auahah",FALSE,0,"Faliqajir","2016-06-06 06:12:51",FALSE,739701365199364096,739701568719577088,556852064,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shaheilaazmi",0,FALSE,FALSE,NA,NA,"2016-06-06 14:12:51"
"Bila plan maxis nak tukar ke Umobile ni",FALSE,1,NA,"2016-06-06 04:13:31",FALSE,NA,739671538215964672,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HadiAfifi_",0,FALSE,FALSE,NA,NA,"2016-06-06 12:13:31"
"@MaxisListens for the iphone trade up program,  is it available for Maxis one plan 98 as well under zerolution?",FALSE,0,"MaxisListens","2016-06-06 03:49:20",FALSE,NA,739665452045979648,141114041,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arslanshah86",0,FALSE,FALSE,NA,NA,"2016-06-06 11:49:20"
"Beli maxis monthly Internet plan dapat Spotify premium free yas",FALSE,0,NA,"2016-06-06 01:25:02",FALSE,NA,739629135924842496,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Reisakatsu",0,FALSE,FALSE,NA,NA,"2016-06-06 09:25:02"
"@nurshuhadaramli tgh tgok drama kat iflix. Langgan plan Maxis One Plan, free 5GB data utk iflix. Aku lenjan lah tgk Kekasihku Seru. Haha",FALSE,0,"nurshuhadaramli","2016-06-06 00:52:10",FALSE,739620449215090688,739620866598703104,381505618,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khaliq_ghazali",0,FALSE,FALSE,NA,NA,"2016-06-06 08:52:10"
"@uzeosbourne bukan dia tulis kalau subscribe data 1gb ke atas (prepaid) atau maxis plan 98 above dapat free ke?",FALSE,0,"uzeosbourne","2016-06-05 22:31:58",FALSE,739585056142819328,739585584516071424,45589400,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ijam",0,FALSE,FALSE,NA,NA,"2016-06-06 06:31:58"
"@mair4h mak pakai maxis one plan <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"mair4h","2016-06-05 21:43:21",FALSE,739573134785806336,739573349811027968,589748611,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shmlysf_",0,FALSE,FALSE,NA,NA,"2016-06-06 05:43:21"
"@nadeeyaazam hahahaha kdg tak boleh percaya gak maxis ni. Mula2 je elok, sbb plan tu still baru lagi <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"nadeeyaazam","2016-06-05 08:26:18",FALSE,739371410598957056,739372765526904832,1130125939,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SyazaTajul",0,FALSE,FALSE,NA,NA,"2016-06-05 16:26:18"
"RT @NazwaHanim: @inna_senget stress aku dgn line mcm taik ahahah mmg plan tukar maxis balik <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,NA,"2016-06-05 07:27:06",FALSE,NA,739357864632819712,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inna_senget",1,TRUE,FALSE,NA,NA,"2016-06-05 15:27:06"
"Ingat plan harini nk maki hamun maxis lah esok dh puasa hahahaha",FALSE,0,NA,"2016-06-05 07:24:32",FALSE,NA,739357220995928064,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nazirulalimi",0,FALSE,FALSE,NA,NA,"2016-06-05 15:24:32"
"Hi @MaxisListens kalau celcom First Platinum boleh bawak data internet ke bulan depan. Adakah plan maxis juga begitu?",FALSE,1,NA,"2016-06-05 04:59:38",FALSE,NA,739320753431056384,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TOKhairul",0,FALSE,FALSE,NA,NA,"2016-06-05 12:59:38"
"@inna_senget stress aku dgn line mcm taik ahahah mmg plan tukar maxis balik <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"inna_senget","2016-06-05 04:31:16",FALSE,739312383122767872,739313616051015680,484081262,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NazwaHanim",1,FALSE,FALSE,NA,NA,"2016-06-05 12:31:16"
"@MaxisListens hi, dah seminggu tunggu masih tak dapat message dari maxis utk pengesahan tukar plan maxis ke digi. Kenapa ye ?",FALSE,0,"MaxisListens","2016-06-04 21:17:36",FALSE,NA,739204480680366080,141114041,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ewxnnnn",0,FALSE,FALSE,NA,NA,"2016-06-05 05:17:36"
